@relation 'original'
@attribute 'C' numeric
@attribute 'RPF' numeric
@attribute 'IP' numeric
@attribute 'k' numeric
@attribute 'D' numeric
@attribute 'FP' numeric
@attribute 'W' numeric
@attribute 'AN' numeric
@attribute 'CP' numeric
@attribute 'PP' numeric
@attribute 'V' numeric
@attribute 'kc' numeric
@attribute 'IPc' numeric
@attribute 'Class' {'1','2','3'}
@data
0.0475,25.4120148856991,7.17,0.3778,876.2,110,310,0.29,6,2,4.439,0.4397,5.94,"2"
0.1515,22.9271906782515,8.51,0.3656,879,117.7,316.6,0.26,1,-1,4.217,1.0564,2.45,"2"
0.0981,29.0415860533816,6.98,0.4639,879,117.7,316.6,0.26,1,-1,4.217,1.0564,2.45,"2"
0.07,21.922223505956,5.92,0.4362,877.3,135,409.5,0.17,7,4,4.431,0.4758,3.86,"2"
0.1067,21.3317176766099,6.76,0.409,876.6,136.4,348.3,0.22,7,2,4.695,1.07395,2.97,"2"
0.0789,24.3546861231178,5.71,0.4744,876.6,136.4,348.3,0.22,7,2,4.695,1.07395,2.97,"2"
0.0651,28.1169383465834,5.44,0.4382,876.6,136.4,348.3,0.22,7,2,4.695,1.07395,2.97,"2"
0.0796,25.5456723118415,7.32,0.3749,887.2,118.6,305.4,0.34,6,2,4.793,0.9098,3.6,"3"
0.0812,22.5375266390251,4.08,0.5694,878.9,131.5,304.6,0.45,4,0,4.332,0.9723,2.23,"3"
0.1189,17.6980420685393,5.43,0.3596,879.3,86.6,292.1,0.395,3,0,4.447,0.8208,2.58,"3"
0.099,18.1735005295382,4.64,0.4001,879.3,86.6,292.1,0.395,3,0,4.447,0.8208,2.58,"3"
0.0772,18.7855126126731,4.7,0.5907,878.5,141.5,260.9,0.45,3,0,4.497,0.7833,3.24,"3"
0.1521,15.6868173062505,2.72,0.9681,877.9,131.3,416,0.45,6,2,4.522,1.4112,1.14,"3"
0.102,14.4143138786594,3.41,0.8486,877.2,129.5,353.6,0.23,7,3,4.546,1.3768,2.32,"3"
0.1007,19.1502495472264,5.9,0.431,875.5,98.7,401.8,0.28,10,3,4.456,0.99635,3.06,"3"
0.154,15.5078347023506,7.31,0.3049,875.5,98.7,401.8,0.28,10,3,4.456,0.99635,3.06,"3"
0.1475,15.819209039548,5.18,0.5415,876.3,109.5,390.53,0.299,9,4,4.571,1.3751,2.22,"3"
0.1038,21.2206426079258,4.89,0.5712,876.3,109.5,390.53,0.299,9,4,4.571,1.3751,2.22,"3"
0.0433,27.3326023903391,7.03,0.3622,876.2,110,310,0.29,6,2,4.439,0.4397,5.94,"3"
0.1576,21.5477053765669,8.32,0.3492,879,117.7,316.6,0.26,1,-1,4.217,1.0564,2.45,"3"
0.131,22.000554688206,7.06,0.352,879,117.7,316.6,0.26,1,-1,4.217,1.0564,2.45,"3"
0.1076,25.8705712768379,6.82,0.4262,879,117.7,316.6,0.26,1,-1,4.217,1.0564,2.45,"3"
0.0697,18.5844589320627,5,0.4445,877.3,135,409.5,0.17,7,4,4.431,0.4758,3.86,"3"
0.1035,14.8932442241746,5.95,0.3953,877.3,135,409.5,0.17,7,4,4.431,0.4758,3.86,"3"
0.1056,17.6584955962613,5.54,0.4474,876.6,136.4,348.3,0.22,7,2,4.695,1.07395,2.97,"3"
0.1247,15.5204981243141,5.75,0.3703,876.6,136.4,348.3,0.22,7,2,4.695,1.07395,2.97,"3"
