@relation 'preprocessed'
@attribute 'C' numeric
@attribute 'RPF' numeric
@attribute 'IP' numeric
@attribute 'k' numeric
@attribute 'D' numeric
@attribute 'FP' numeric
@attribute 'W' numeric
@attribute 'AN' numeric
@attribute 'CP' numeric
@attribute 'PP' numeric
@attribute 'V' numeric
@attribute 'kc' numeric
@attribute 'IPc' numeric
@attribute 'Class' {'1','2','3'}
@data
0.343854936198791,0.560168091335543,1,0.00441208912420031,1,0.58287795992714,0.286911669890393,0.607142857142857,0.555555555555556,0.6,1,0.483890890375708,0.5125,"1"
0.163196776359973,0.223467648399886,0.0396341463414634,0.492242076623281,0.290598290598288,0.817850637522769,0.281753707285622,1,0.333333333333333,0.2,0.199652777777778,0.548224395265054,0.227083333333333,"1"
0.169912693082606,0.210389528880711,0.038109756097561,0.549305095962938,0.290598290598288,0.817850637522769,0.281753707285622,1,0.333333333333333,0.2,0.199652777777778,0.548224395265054,0.227083333333333,"1"
0.200134318334453,0.250020839240698,0.132621951219512,0.197955732039121,0.32478632478632,0,0.201160541586074,0.803571428571428,0.222222222222222,0.2,0.399305555555556,0.392279979413278,0.3,"1"
0.169912693082606,0.247936648561998,0.163109756097561,0.360541216265902,0.256410256410255,1,0,1,0.222222222222222,0.2,0.486111111111111,0.353679876479671,0.4375,"1"
0.331094694425789,0.860582818172304,0.342987804878049,0,0.205128205128202,0.814207650273224,1,1,0.555555555555556,0.6,0.52951388888889,1,0,"1"
0.18938885157824,0.127124558368333,0,0.551143466431355,0.145299145299149,0.781420765027322,0.597678916827853,0.214285714285714,0.666666666666667,0.8,0.571180555555556,0.964590838908904,0.21875,"1"
0.631967763599732,0.225865020016366,0.509146341463415,0.0609603647327009,0.145299145299149,0.781420765027322,0.597678916827853,0.214285714285714,0.666666666666667,0.8,0.571180555555556,0.964590838908904,0.245833333333333,"1"
0.300201477501679,0.0916681842628077,0.055640243902439,1,0.145299145299149,0.781420765027322,0.597678916827853,0.214285714285714,0.666666666666667,0.8,0.571180555555556,0.964590838908904,0.245833333333333,"1"
0.266621893888516,0.381378057584727,0.429878048780488,0.103978233693654,0,0.22040072859745,0.908446163765313,0.392857142857143,1,0.8,0.414930555555557,0.572979927946474,0.4,"1"
0.279382135661518,0.212840677858008,0.137957317073171,0.383410544893007,0.0683760683760642,0.41712204007286,0.8357833655706,0.460714285714286,0.888888888888889,1,0.614583333333333,0.962840967575914,0.225,"1"
0.383478844862324,0.101293645726643,0.106707317073171,0.555702625193029,0.0683760683760642,0.41712204007286,0.8357833655706,0.460714285714286,0.888888888888889,1,0.614583333333333,0.962840967575914,0.225,"1"
0.0906648757555406,0.460960003185867,0.445121951219512,0.14361350099272,0.0598290598290635,0.426229508196721,0.316569954867827,0.428571428571428,0.555555555555556,0.6,0.385416666666667,0,1,"1"
0.0913364674278039,0.424515711465386,0.0708841463414634,0.540554452533274,0.299145299145298,0.56648451730419,0.359123146357189,0.321428571428571,0,0,0,0.634791559444159,0.272916666666667,"1"
0,1,0.0198170731707317,0.700345613648062,0.299145299145298,0.56648451730419,0.359123146357189,0.321428571428571,0,0,0,0.634791559444159,0.272916666666667,"1"
0.122229684351914,0.310223736112171,0.194359756097561,0.190749319802927,0.153846153846149,0.8816029143898,0.958091553836235,0,0.666666666666667,1,0.371527777777778,0.0371590324240865,0.566666666666667,"1"
0.247145735392881,0.160017319364877,0.241615853658537,0.227222589896316,0.153846153846149,0.8816029143898,0.958091553836235,0,0.666666666666667,1,0.371527777777778,0.0371590324240865,0.566666666666667,"1"
0.0718603089321693,0.488269245560953,0.112042682926829,0.491800867710861,0.0940170940170956,0.907103825136612,0.563507414571245,0.178571428571429,0.666666666666667,0.6,0.829861111111111,0.652856407617087,0.38125,"1"
